,Date,Rented Bike Count,Hour,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day,DateTime
0,01-12-2017,254,0,-52.0,37,2.2,1.0,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 00:00:00
1,01-12-2017,204,1,-55.0,38,0.8,1.0,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 01:00:00
2,01-12-2017,173,2,-60.0,39,1.0,1.0,-17.7,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 02:00:00
3,01-12-2017,107,3,-62.0,40,0.9,1.0,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 03:00:00
4,01-12-2017,78,4,-60.0,36,2.3,1.0,-18.6,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 04:00:00
5,01-12-2017,100,5,-64.0,37,1.5,1.0,-18.7,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 05:00:00
6,01-12-2017,181,6,-66.0,35,1.3,1.0,-19.5,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 06:00:00
7,01-12-2017,460,7,-74.0,38,0.9,1.0,-19.3,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 07:00:00
8,01-12-2017,930,8,-76.0,37,1.1,1.0,-19.8,0.01,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 08:00:00
9,01-12-2017,490,9,-65.0,27,0.5,0.9635073492143943,-22.4,0.23,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 09:00:00
10,01-12-2017,339,10,-35.0,24,1.2,0.9979726305119108,-21.2,0.65,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 10:00:00
11,01-12-2017,360,11,-5.0,21,1.3,0.9675620881905727,-20.2,0.94,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 11:00:00
12,01-12-2017,449,12,17.0,23,1.4,1.0,-17.2,1.11,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 12:00:00
13,01-12-2017,451,13,24.0,25,1.6,1.0,-15.6,1.16,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 13:00:00
14,01-12-2017,447,14,30.0,26,2.0,1.0,-14.6,1.01,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 14:00:00
15,01-12-2017,463,15,21.0,36,3.2,1.0,-11.4,0.54,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 15:00:00
16,01-12-2017,484,16,12.0,54,4.2,0.3882412569690826,-7.0,0.24,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 16:00:00
17,01-12-2017,555,17,8.0,58,1.6,1.0,-6.5,0.08,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 17:00:00
18,01-12-2017,862,18,6.0,66,1.4,1.0,-5.0,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 18:00:00
19,01-12-2017,600,19,0.0,77,1.7,1.0,-3.5,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 19:00:00
20,01-12-2017,426,20,-3.0,79,1.5,0.9559047136340597,-3.5,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 20:00:00
21,01-12-2017,405,21,-8.0,81,0.8,0.8413583375570197,-3.6,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 21:00:00
22,01-12-2017,398,22,-9.0,83,1.5,0.6857577293461733,-3.4,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 22:00:00
23,01-12-2017,323,23,-13.0,84,1.0,0.6274708565636087,-3.6,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 23:00:00
24,02-12-2017,328,0,-18.0,87,1.1,0.4901165737455651,-3.6,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-02 00:00:00
25,02-12-2017,308,1,-22.0,86,0.6,0.4880892042574759,-4.2,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-02 01:00:00
26,02-12-2017,262,2,-29.0,86,1.5,0.622909275215408,-4.9,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-02 02:00:00
27,02-12-2017,167,3,-35.0,81,2.2,0.6051697921946274,-6.2,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-02 03:00:00
28,02-12-2017,89,4,-38.0,79,2.0,0.5778003041054232,-6.9,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-02 04:00:00
29,02-12-2017,79,5,-40.0,79,1.5,0.5955397871262037,-7.1,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-02 05:00:00
30,02-12-2017,70,6,-43.0,82,2.1,0.5833755701976685,-6.9,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-02 06:00:00
31,02-12-2017,146,7,-44.0,81,2.5,0.633046122655854,-7.1,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-02 07:00:00
32,02-12-2017,219,8,-42.0,79,2.1,0.7141409021794222,-7.3,0.01,0.0,0.0,Winter,No Holiday,Yes,2017-12-02 08:00:00
33,02-12-2017,328,9,-29.0,68,1.6,0.7399898631525595,-7.9,0.3,0.0,0.0,Winter,No Holiday,Yes,2017-12-02 09:00:00
34,02-12-2017,334,10,-4.0,57,1.6,0.64977192093259,-7.8,0.8,0.0,0.0,Winter,No Holiday,Yes,2017-12-02 10:00:00
35,02-12-2017,388,11,19.0,49,1.8,0.6989356310187531,-7.7,1.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-02 11:00:00
36,02-12-2017,479,12,43.0,41,1.3,0.8307146477445514,-7.8,1.09,0.0,0.0,Winter,No Holiday,Yes,2017-12-02 12:00:00
37,02-12-2017,606,13,60.0,36,1.8,0.8884946781550938,-7.9,1.12,0.0,0.0,Winter,No Holiday,Yes,2017-12-02 13:00:00
38,02-12-2017,611,14,73.0,35,1.3,0.9771920932589964,-7.1,0.99,0.0,0.0,Winter,No Holiday,Yes,2017-12-02 14:00:00
39,02-12-2017,589,15,76.0,41,2.3,0.9761784085149517,-4.8,0.74,0.0,0.0,Winter,No Holiday,Yes,2017-12-02 15:00:00
40,02-12-2017,618,16,64.0,48,2.6,0.9721236695387734,-3.8,0.22,0.0,0.0,Winter,No Holiday,Yes,2017-12-02 16:00:00
41,02-12-2017,572,17,60.0,51,2.5,0.9447541814495691,-3.3,0.06,0.0,0.0,Winter,No Holiday,Yes,2017-12-02 17:00:00
42,02-12-2017,489,18,55.0,53,1.5,0.8464267612772427,-3.3,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-02 18:00:00
43,02-12-2017,385,19,50.0,52,2.3,0.8307146477445514,-4.0,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-02 19:00:00
44,02-12-2017,359,20,46.0,51,1.2,0.789660415610745,-4.6,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-02 20:00:00
45,02-12-2017,377,21,41.0,55,1.2,0.7202230106436898,-4.1,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-02 21:00:00
46,02-12-2017,354,22,35.0,54,1.5,0.7192093258996451,-4.9,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-02 22:00:00
47,02-12-2017,366,23,40.0,56,1.0,0.6715661429295489,-4.0,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-02 23:00:00
48,03-12-2017,342,0,40.0,58,1.4,0.6431829700963,-3.5,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-03 00:00:00
49,03-12-2017,227,1,39.0,69,1.7,0.2321338063862139,-1.2,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-03 01:00:00
50,03-12-2017,228,2,33.0,79,1.4,0.40699442473390773,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-03 02:00:00
51,03-12-2017,117,3,34.0,71,1.6,0.4987328940699442,-1.3,0.0,0.5,0.0,Winter,No Holiday,Yes,2017-12-03 03:00:00
52,03-12-2017,76,4,35.0,73,1.0,0.5235681702990369,-0.8,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-03 04:00:00
53,03-12-2017,32,5,39.0,75,1.9,0.44956918398378104,-0.1,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-03 05:00:00
54,03-12-2017,13,6,34.0,86,2.5,0.12721743537759758,1.2,0.0,1.0,0.0,Winter,No Holiday,Yes,2017-12-03 06:00:00
55,03-12-2017,22,7,31.0,91,1.2,0.051697921946274705,1.7,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-03 07:00:00
56,03-12-2017,85,8,32.0,92,1.8,0.10998479472883933,2.0,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-03 08:00:00
